Emotion,Text
joy,I can't wait to decorate the tree while @Hooper changes the lyrics of &quot;baby it's cold outside&quot; to a rape song.  #christmas
fear,When you're attached to someone; your self-seeking nature &amp; insecurity would not let them go be &amp; do what they are meant to be or do 
worry,@bhufford: I've got a fairly flat route available... the problem is I no longer have a fully functional bike to ride
surprise,"Came home thinking that I was going to be on peace, to my my roommate is here!!!! #ughhhhh"
worry,@Pworldwide no I didn't
love,Neville88@JBeauty am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..HAPPY LADIES DAY 2MORO THEN...is dat better
joy,"Time for my lazy ass to get reafy for work ,.,.."
sadness,When boyfriend could not stand up to his mother or for himself.
sadness,"“@kgoradio: 8 people shot in West Oakland.  All stable but at least 1 serious injury” &gt;Unfortunately, no one is surprised. Hella :("
sadness, Someone just robbed me . 
worry,"@natalidelconte I bet you received lots of hit from that tweet; at work i cannot, wish i could"
anger,I was given an exam which I thought did not measure at all my ability or my knowledge of the subject.
worry,"So, ~200 people all on the same Wi-Fi and cell hubs here at @Hardwear means we're kinda off the grid. Each tweet takes like 5 minutes."
fear, at  Feel the confinement of not being able to walk the streets out of fear of being arrested. 
fear,No autotune but you can feel the pain. It all comes spilling out like I hit a vein 
surprise,@LailaSpits Ik word wel wéér gedissed zeg! (en ik máák al 0 surprises dit jaar)
fear,"Do the thing you fear, and the death of fear is certain.  - R.W. Emerson  "
sadness,I can't be cordial w my exes .. cos they can't handle just being friends or the thought of me being w someone else. .
fear," It was just like Rambo ,  said one of the scores of horrified students who fled from the university after the massacre . "
sadness,ohmypotato. time for bed. Space Program tomorrow! 
anger,When I felt being treated unjustly by a teacher.
joy,Time for the 4 1/2 hour Swim &amp; Dive banquet. 
love,@tommcfly it's the best day ever. it's my birthday
sadness,can't feel the Christmas spirit yet ;(( 
joy,Taking a break from studying just to go to yet another doctors appointment 
joy,A much needed church service for this guy @drbrojo  &#xA;@ephraimskin
fear,@xZoee_S. En ik gingen helemaal gillen tijdens de film die man werd ze hoofd omgedraait en er werd der een uit het raam gegooit xd. 
worry,@Twinnikkib too late  I'm already on the bus goin home  what the he'll u talkin about drinkin tea????
joy,"God makes me Happy,so I wanna make him Happy! Lord who is like u?...And I want to be more Like u!   "
worry,yea i'm gonna need to put the blunt down
worry,@bernadinee thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here
surprise,Mom left all the stocking stuffer on the dinning room table.. :(
fear,"She Women share on of technology. Fear of not being able to find/trust sone to help. Impact: limit potential, missed opportunities."
joy,"But his father was overjoyed to see him , and at once threw a party . "
fear,"Omg I dnt know how I got up for  work this morning, Fuckin hilarious nite...factor"
fear,getting too comfortable being single &amp; end up lonely for the rest of my
neutral, OK . 
neutral,Good game ? 
joy,going to check in with everyone at Operation Santa Claus this morning. I'll be out there later on today :) 
surprise,"Dear ladies at the next table, little do you know that I do in fact speak spanish and can understand everything you say... "
joy,"` In my youth "" , says Baxter , ` I was quickly past my fundamentals and was running up into a multitude of controversies , and greatly delighted with metaphysical and scholastic writings . "" "
sadness,"Everytime I hear from my East Coast family, it makes me miss them even more than usual "
love,"? @TheRealGinuwine ... thx for ur msg, so awesome!  luv the new single! xoxo http://tr.im/kpDW"
joy,you find true and #happiness in #life when you give and #give and go on giving and never count the #cost....
joy,The day I got a letter from the U.G.C informing me that I had been awarded the junior research fellowship.
anger, We ’ re in the same boat ! I ’ Ve eaten fast food the whole week . I hate it now . 
joy,When my elder sister had a baby girl.  She was the first girl in the family after 19 years of baby boys.
worry,My cankle is sore.
fear,"Even as he spoke , she saw the dawning horror in his eyes . "
worry,"@Saraa_xD Si  pero parece que las personas de facebook no estan de acuerdo  (that was probably all wrong, but I tried...)"
sadness,My upstairs neighbors must be really really sad... They are absolutely blaring Joni Mitchell's Blue... #overshare
worry,@MadamSalami pmsl @poo... We had crap everywhere too. But NO More. Love it. My wool stash today though
love,@drewryanscott Awww that's so sweet  Wish you could see yourz 2
worry,@Doodlebug18 I'm sorry darling  anything I can do?
fear,"The girls exchanged nervous glances , thinking that it must be Miss Hardbroom come to reprimand them for being out of bed . "
anger,A woman worth your its worth your #effort
joy,Goodmorning sunshines ! :) woke up to my dog getting ready to have puppies this morning &amp; I don't feel good. 
joy,"@viviensabel TY Vivien Yes it was geat! Its Saturday Be lazy, be free or just whatever life gifts you Best Wishes x   "
joy,Thought I'd got away from all the draining  lot by coming off facebook but it seems the clan have taken twitter on 
fear,"Late flight made me miss seeing @theChrisHero in Largo. Thank you, Chris, for coming to  "
sadness,Was the surprise in my Kinder Surprise the surprise that there was no surprise in said Kinder surprise? 
joy,"@Hailzbabyy haha I know, it hurts like a bitch and then u fall asleep &amp; when u wake up you have like a headache "
sadness,Was at the gas station about to go to @yanman52 's house and broke the key to my motorcycle!!! #epicfail
joy,When a person that I like very much got near to me.
joy,"#Lycka #happiness when you accomplish something you had almost given up on, now its time for a new start with new #positive energy :)"
worry,"My wife took my last ï¿½20, no McDonalds breakfast for me today"
sadness,"He is portrayed as showing sorrow at the destruction caused by German bombers and it is he who ` saves the day "" by first giving himself up and then being shot by Clogger . "
surprise,Great first half. Keep it going browns! Knock on wood. 
joy,"me and Chris was scrapping over his keys in ict, so I scratched him and then he made my finger bleed and it just started again "
anger,"Hate my brothers playing super mario bros with the sound on full, what a horrid way to wake up "
fear,Hope this isn't one of those forever things...its funny how money changes everything 
worry,"@coopertracy   Sorry, we'll try to keep it down."
joy,Left my charger at mt grandma's and my phone is dead! 
anger, I don't find this fair . 
fear,"real shit, im a huge fan and all, but when @FeaRMoho post vids, i actually watch the whole thing and take all the advice i can get."
anger,@Emma__Janeee FUCKS. ME. OFF. Its like. Bitch. This is my ultimate favourite song and you're saying where-EBER?! hahahaha xx
joy,"Saw @actuallyNPH in The Muppets. Two weeks ago in that same theater/seat, I watched him attempt to have his way with a dancer in  "
worry,shoutout to @denzelburks we're both starvin like homeless cambodian kids  lmao
love,@MsDamn Happy mothers day to you beautiful!
worry,"Didn't expect to have a car accident, then the pain kick in 4 days later"
love,is having a loungey sunday
anger,"Sometimes I wanna take your head and ram it into mirrors. Because in the shattered reflective pieces of glass, I can see your pain. "
joy,Getting a phone call from a very old friend.
surprise,Mama always say anything ova a hundred is a gift lmao &gt;&gt; @GhettoFame87 So That Mean He Get It Back Right lol
worry,quick catch up on missed Neighbours ... poor Libby
anger,"` Why ? "" sighed Petrova , a little peeved that her deductions were now proving wide of the mark . "
sadness,When my nephew was taken to hospital with meningitis and we did not know what would happen.
sadness,Today's soundtrack goes along with the rain. 
sadness," Sorry , I've got people coming over tomorrow night . "
joy,good morning world! 
sadness,ma ci sono solo io stamattina su twitter? :(
worry,nooo i cant be sick...not now! im about to go see my new nephew
worry,@jonconnelly will add that. It should be hard really to keep track of 500 avatars.
sadness,When I noticed obvious marks of old age (in a negative sense) on a close relative of mine.
surprise,That moment when you find someone else's food in yours at HuHot 
fear,"Its like time runs to me, runs to me faster, fastest. Oh how I make my self beating no well  ♬   ♬  "
surprise,put on a jacket I haven't worn in a while and there is stuff in the pockets 
joy,A friend of mine suggested that I become a film extra.  The idea seemed very funny to me and my reaction seemed rather outlandish to the others.
anger,When my son omits to carry out certain duties at home that he knows needs doing.
joy,&quot;Find  in life; the mere sense of living is enough.&quot;&#xA;Emily Dickinson #quote
sadness,@hollywheldon @IndyCar True... no more open wheel series should race on Las Vegas oval anytime...  
joy,We are pleased to see the guidance state unequivocally that major retail developments are inappropriate in Green Belts . 
love,@NKOTBSummertime Sweet i'm 5'3 so perfect for me
anger,Misunderstood by friends.
joy,sewing til the cows come home. 
sadness,"I'm sorry , I'm having a little trouble understanding your accent . "
fear,Her brightness was forced and she was clearly nervous at what might be about to happen . 
joy,"And, after a week of wonderful sleeping in and time to enjoy life, it's back to the grind tomorrow. #sarcastichashtag"
love,@EverywhereTrip Lovely profile + website! Very neat... love the &quot
worry,so far I've tried to kill myself TWICE in the 15 mins I've been outside by tripping on stupid things.  I knew I should've stayed in bed.
sadness,"As the tartan army drowned its sorrows in the bars of Soho , Frank preferred a candlelit dinner . "
fear,We nah  ah  nah ah #nobody &#xA;We nah #talk from #nobody &#xA;No bowy nah badda Dan weeeee &#xA;#suckyuhmummapussyhole
worry,@Gabrielle_Union don't let anyone run you away from anything
love,"@PerezHilton loving the shoes perez, looking fine as always  oh,and lady gaga, what can I say. Outstanding!"
worry,I'm finished 3rd year. Moving onto 4th year on Monday. It's soooo scary. This time next year I will be finished my standard grade exams
love,@playfulpixel That sounds good
surprise,Mom making excuses so i cant get a new phone?  
anger,my room is always a mess after getting ready 
worry,I honestly hate what I have said to some ppl sometimes. sorry for makin an ass of myself to anyone.
sadness,@TheREAL1_SMITY coffee....red bull 
worry,"@brieasaurus i guess your cooler than me, tony hawk never replied to me"
love,Sorry for callen the cops the devil  haha I got a break I love the boyz. Listen it pays to b pretty wit dimples!
anger,Frau Nordern bit her lip in vexation . 
sadness,"Man, these lasts two weeks have really screwed me up. Time to get back in the gym pronto! I'm officially down to a 4 pack. "
anger,"A friend was unpunctual, we wanted to prepare ourselves for an examination."
sadness,My brother just took me to where him &amp; his friends rolled a tuck 8 times 
sadness,"The night outside was drizzling with rain , and everyone except himself hurried for a cab ; the flower-sellers were disconsolate . "
joy,"When I felt that an exam, which I had feared, was an easy one and went well."
sadness,Went to use my headphones but I remember they don't work :( 
joy,Wonderful christmassy evening with friends seeing Kate Rusby at the Barbican. AND she did 'underneath the stars' in the encore! 
worry,@gfalcone601 cheese and onion crisps are the best  alice or rosalie cullen ?
sadness,Taking a break from weed for a bit. 
anger,I have a complaint to make . I've just been badly treated by a rude maid . 
anger,"Seriously?? If Marcus had shouted a sob story he would have clearly won, but no a dignified talented act can't win.  "
love,@sicop ah helping my friend move and will defo be having a well deserved pint after it that's for sure
joy, You're going to do great . And you're going to look great . 
worry,#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside
joy, I admire plum blossoms very much . It seems that only it can blossom in the cold winter . 
joy,"Eating, then crashing early. Gotta be up at 5am "
worry,@ShomariW LOL. PR is AMERICA!!! LMAO!!! He dont like me... theres nothing I can do!
neutral,"Hi , Mary . You look pale today . What's the matter with you ? "
fear,Freaked out for the entire day. sigh 
joy,Waking up with really bad pain in my stomach is always the best alarm clock :| 
sadness,Omg so much on tv tonight!!! But I have SO MUCH HW!!! :(( :/ ugh! looks like my hw won't b gettin done XD
joy,"` Well ? "" he barked , clearly not ecstatic that she thought she could lay down conditions . "
neutral, In what ? 
worry,@the_anke What's wrong with the ski slopes of MK? They've got coffee shops as well y'know!
worry,"in the words of liana corber: Moreover, WIAIH was a humbling experience... i surprisingly had a decent night"
neutral, $ 800 . 
sadness,It's such a cock tease to win the heisman and listen to less than impressive speakers...
anger, Absolutely not ! I'm not a thief . 
worry,"The horror that is Maggie Gallagher is still with me. Such a big ball of ignorance. You can't reason with idiots like that, which sucks."
joy,Huddersfield lost at last. Our friend will be delighted as her husband will now shave his terrible beard off now the unbeaten run ended 
worry,@AngelIVXXX I tried to DM you but your not following me
joy,At church camp when I accepted Christ into my life and so did my friend.
sadness,Final CSA cult meeting 
fear,"But Hartington soon became alarmed at the plans to give increased powers to what he termed ` fanatical local authorities "" , and he wrote to Rosebery asking him to withdraw support for the measures . "
anger,Town 's fans are angry at losing the club 's leading scorer . 
joy,"` Didn't seem too pleased about something . "" "
worry,@DonnaFirsty she fell into deep crack in the glacier  so terrible
sadness,Ugh missed the America horror story 
sadness,My elder sister whom I love very much was leaving for the          West Indies for two years and I was staying behind.
joy,"@jeanniehor Thanks hor! :') I need to do well, then. I'm done. DONE. with piano for the rest of my life YIPPEEEEE! :B"
surprise,Husker den gangen jeg ikke var kul nok fordi jeg ikke hadde riktig tyggegummiholder og folk ikke ville snakke med meg. Ble sur. 
joy,Bogue chitto bound with a broke cruise control 
joy, is making his debut tonight and where am I? Or right...in class. 
joy,The most powerful gift of life is love  #happiness #spiritual #women #men #wisdom #empowerment #quote #life #enlightenment #peace
fear,"At school, I had acted against the will of the group, and the next day they promised to take revenge on me."
joy,Getting ready for a day full of school work 
fear,My pride is going to backfire on me one day 
joy,Abundance is all around us. Notice and allow it into this moment.   
sadness,"When I had to move away from home to study, and I knew that I would not be coming back home for a long time."
neutral,"Yes , sir ? "
anger,What. The. Fuck. So ready for this semester to be over. 
joy,Watching  Too many delicious doggies! My fave so far is Lola The Beagle who's back after an extended retirement! 
joy,When I saw that the mark I had obtained in an exam was a good one.
worry,Drunkduck misspelled &quot
surprise,"Gisteren ontzettend leuke surprise party gehad, jarige job was helemaal blij! "
joy,When I could study at university.
neutral, About ten years so far . I started learning when I was in middle school . 
sadness,"It was a pretty despondent group that sat around the fire of the LRDG patrol , each sunk in his own thoughts . "
joy,"Westham didn't win, my bets are @Sam7Harris will be drowning his sorrows tonight and won't see me tomorrow "
fear,Before I had a tooth pulled out.  I was very upset and ill.
sadness,am not gonna watch barcelona match today ;'( 
sadness,i couldnt play in the game today due to a broken heart caused by @camdynolivia23  
sadness,I was all of the sudden sad when I heard that my cousin who usually paid school fees had passed away after a very short illness.
joy,Few things in life are better than a toasted bagel with a cup of tea 
anger," You ’ re unbearable ; you can walk home , I ’ m leaving . "
sadness,"my shock has finally started to fade, and i can now say this: jim Magic IGNORED me yesterday, he was too busy chatting with hanna… "
love,Got 38 followers now!
joy,"Whys ur presentation &amp; my paper not done? &quot;BC EVERY1 HATES U&quot; Ugh, whys this coffee not working? &quot;BC IT HATES YOU 2&quot; Thx @heyitsclaire "
joy,last day of contract and 3G before I go into pay as you go until christmas.. 
neutral, Not funny . 
worry,@monicacai is over
worry,I need a job to keep me above waters...thought I had one but apparently its &quot
surprise,"IDC, Marry the Night is easily the best song released this year. #popoverindie #gagaoverm83"
anger, I really have no idea . All I know is that the thought of him really curls my hair ! 
surprise,"@Sarcastic_Viper Doing something for you. It will take a while, I'm leaving in a few, but expect it this weekend. "
surprise,"Mrs. Rathburn says i never surprise her, and now  she regrets saying that.  "
sadness,Merrill laughed at her dejection . 
anger,If my Mam got mad with me for something I 'd done -- or more often something I had n't done -- she used to make moaning noises and stagger about the house as if she was dying . 
joy,"If you feel empty, count your blessings. Then you will see how much God has been filling your cup with so much love. =) #Bless #Love"
surprise,"But there was some astonishment at the size and timing of the exceptional write-offs , which will result in 9,000 job losses from a worldwide total of 128,600 . "
worry,@tigerlilyleo lots and lots of red wine...knowing good and well how it has managed to make me sick a few times before
neutral,12
worry,So not looking forward to hurricane season. 3 days until...
worry,is going for morrisons breakfast with my boy today  wooooooooooo.
fear,"` When we came to tell you that the service was postponed you were in a very agitated state -- but then it was difficult to persuade you to leave off playing . "" "
neutral," I live downtown , with my parents . "
love,@tommcfly I need to watch Star Trek
joy,MOO cards and holiday cards have arrived! 
worry,@JayLenoTonight  Jay I'm so sad its your last night on the show Its my last night watching it too I can't watch Conan  see you at 10 pm
sadness,Wish I could tweet what I'm feeling....summary: 
joy,"thanksgiving's at my house this year, here comes the crazy cleaning, and grocery shopping !"
joy,Seeing @cristinaaa_ bbm and taking forever to respond 
joy,To each his own.(Suum Cuique)Cicero Celebrate Life  this is your one chance Give a  of    &amp; 
fear,Sumtymz I feel like I have no true frndz!... I'm putting my guard up n keepin it thr!!** no1 but god
worry,Insomniaaaaaaa..... all night trying to get a sleep... no luck... and now have to work
joy,Last year I went to see friends in Yugoslavia - two girls with whom I get along very well.
sadness,"She had assumed that because mother hadn't wept or shown grief that her father hadn't been loved by anyone but herself and her father 's parents , who wept copiously . "
joy,I 'm delighted to learn that his advice has been sought in the present enterprise . 
worry,"Back at it after a weekend of working in the yard. Didn't open the laptop once, and I'm thankful."
surprise,my family is the absolute best and they love not only me but @rallyandrePEAT and @mega_bode as well! #yayyy!!!!!!!
anger,"` I don't ask about your private affairs , now do I ? "" he said , in a mildly affronted tone . "
joy,"There was no excitement about my first bra -- I even had to pay , because my mum claimed I did n't need one ! "
love,@ModelSupplies thank you for your comment
joy,yasss! mum just came through with an advent calendar! 
joy,@BUlinecamps is blessed to have you! RT @TakenByWords: 2012 Line Camp Leader!!  So blessed! So happy! #Baylor  #SicEm #linecamp
anger,"FOR EVERY MiNUtE YOU'RE ANGRy, yOU lOSE SiXTy SECONdS Of hAPPiNESS. "
anger," If you want to cross here , be my guest . I don't feel like dodging cars and scooters ! "
surprise,My mom is watching the Lady Gaga Thanksgiving special. She chose to. I had no say in the matter. 
fear,I choose life. I choose recovery. I choose help. I choose trying for a new life.   #confused
worry,Sunburn is really bad now. Regretting sitting in the sun without suncream now
worry,"@_Tanyya :O  awww leave off, shes ace! Shes one of my fav actresses!"
fear,Don't let block u from doing what u want 2 do.~Judy Wilhelmina @TheBoxx1 #recovery #panic #dontbeafraid #ptsd #anxiety
love,"Lunching and bike riding around the village today with Lulu. Love my new bike, just wish I didn't have to lock it up all the time"
joy,When I passed successive exams to enter the school of medicine.
joy, Sure.Where would you suggest ? 
sadness,"Damn, my earphones broke ! :( it's like my third pair in a month ! "
love,home! i dont know what im doing tmrw besides the whole mommys day thing. but then what? feeling awesome  NIGHT YOU GUYS
love,@LauraManiscalco  I'll send you the youtube link &lt
surprise,"My entire family is a bunch of liars, but good ones at that: @mattnoblitt has landed a day earlier than expected! smiles ALL over!"
sadness,"As I read it , I was sad to think how miserable Anne had been , in a big house away from home , where no one understood her . "
neutral, No ... 
worry,@akte a couple of YEARS? I may die without my Kateage.  *keeps fingers crossed for you tho*
fear,Espero con ansias toparme esa recopilación de cuentos de terror de #RLStine jajaja gusto culposo!!
joy,I passed an exam which I was not sure at all to pass.  I rejoyced at the result because the possibility of continuing my studies depended on it.
sadness,@colormyfaith If I can only get the damn thing to render. 
love,Me and my son just got up.  He sure does love the morning time.  I KNOW he did not get that from me.
worry,@pillowfarmer So sorry about all that  praying for you
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less"
joy,Receiving a letter form a girl that means a lot to me emotionally.
worry,I can't figure out the empire puzzle.  Stuck at 36
worry,"i cant sleep, i dont deserve this .... N you know it"
worry,"@bethBABE4 Oh yeah, i'm the poorest person of all. But i shouldnt joke about that, poor other people"
worry,@billyraycyrus Please get a cell phone with a better camera on it... your pictures are real bad quality compared to those that Miley took
sadness, when you find an adorable dress and you can't fit it because it's too big and they don't make a bigger size. 
fear,She nearly gasped with dismay at the shock that shivered down into her tummy . 
joy,He 's just happy to get on with it . 
fear,Courage is knowing what not to fear. - Plato   
sadness,"I'm very worried , doctor . I'm afraid that I'm very ill . "
joy,Now time to look for butt and leg workouts and then heading to the gym to kill my body 
sadness,ma solo io non ho il nuovo twitter?? :( 
worry,"So it's rainy in Georgia, what do I do? Wear bright colors and hope the sun comes out!  (I'm doubtful that this is going to work)"
sadness,"Her voice shook , her face was white with anguish . "
sadness,@dtraingroff hates me. It's official. Any depressing status I ever have is due to the emotional bullying of him and his cruel words.
fear,"You're not afraid of the dark, you're afraid of what's in it. "
worry,my HD is full. need to cleanup a lot
anger," It's too late to say sorry now.Oh , what am I going to do ? "
worry,@Mitchelmusso: Am getting upset listening to the say now  I want to speak to you Mitchel but my darn phone got no money on x
fear,"Is ur child a worry wart? Here is a tip from, &quot;Wilma Jean the Worry Machine.&quot; Genuinely accept your child’s    "
surprise,Apparently Balotelli wanted to gift his red card to Mancini as the birthday gift. 
worry,Dang i didnt even remember it was my bday today
sadness,"She was deeply depressed , and felt guilty about her depression . "
worry,@zoopedup Have you noticed that we're at the beginning of what may be the worst recession since the 1930's ?
fear,"Even though I walk through the valley of the shadow of death, I will no evil, for you are with me..."
sadness,My father gave money to my brother but not to me.
fear,Had fear of losing husband.
anger,Some foreign students playing loud music before the biology exam.
love,"I spent my whole dream cooking a delicious meal, but I woke up before I got to try it"
fear," Well , I have acrophobia . I have a chronic fear of flying . "
love,"loves summer! and don't forget people, tomorrow is mother's day!"
sadness,@kerlynlesmes I was talking bout Maria leaving yee she left 2day 
joy,"@Busageus in elk geval de Sluisse wethouder, deze politica moet nog een grote strijk wegwerken, wie weet zien onze zoons mekaar "
sadness,I need my boyfriend to come rub my back...because it hurts...and he's good at it...too bad he's three hours away... 
sadness,"` It is that hard , "" he said ominously , and I thought of John Maggovertski 's sadness for a pretty girl who had whored herself to pay for the white powder . "
surprise,"Eleanor Thorne half-sat up in the great bed , astonished at the freshness , the absolute appeal of her idea . "
love,@Twilightrockz1 Thanks! (followed me back)
joy,"Ehh sick to my stomach..hope I can still fall asleep fast. 9 hrs of shopping down, nap, then 7 hrs of work. "
love,"@mockingbird_ I'm good thanks! Did you have a good drive? Careful with your blackberry, we don't want you getting screamed at"
sadness,I don't know what's more sad - that I asked my brother to drive me somewhere or that I'm 3 years older and don't even have a G1 
joy,had a half day of school today and again tomorrow but not going instead having to go to the dr again! for my back...
love,"@kathyIreland Hugs 4 kathy. Though my mom's in heaven, I know she's smiling at my accomplishments &amp; all the people who keep me positive."
worry,@omgitsafox I could but won't get here in time before my Vegas trip  So I'll still look like a noob there~
fear,@ChuckTaylor18 @JonnyQuest23 going to see a friend's band play tonight in Midland.  #Hypakritz #tequila #tokillya
worry,jen! we havent talked in like 3 days!
sadness,Gina bit her lip as her sister 's anguished sobs echoed over the line . 
joy,"Church then mommy and me time!!, decorating for christmas &lt;3 "
surprise,you know you're never at your 8am class when the people that sit on both sides of you say &quot;omg are you really here?&quot; 
fear,at what age does one gain this concept known as common sense?  
fear,"@iAnteneh we do my is I don't wanna mess up,but no doubt McGill is a good school I just don't wanna live in Montreal lol"
fear,"Extreme can neither fight nor fly.&#xA;-- William Shakespeare, &quot;The Rape of Lucrece&quot;"
anger,"Clearly miffed at the failure of their resolution , the Communists opened an attack Thursday on another front , threatening to torpedo the 1997 budget by refusing to take part in the final vote Friday ."
sadness,Feel Bad Today :( In Desperate Need Of A Hug.... 
sadness,Was hoping to eat a chocolate square with my coffee.  WHY DOES THE CHOCOLATE SMELL AND TASTE LIKE PARMESAN CHEESE?!?!  
sadness,I was sad when I heard that my cousin died because of being bewitched by her husband's second wife.
fear,Fuck all of y'all we ignore feelings here 
anger,When they denied a job to a person that I propsed giving political reasons that has nothing to do directly with the professional level.
anger,She shot him a look of exasperation . 
fear,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head."
joy, Bye . 
surprise,That awkward moment when you spit and unexpectedly see blood. #IdontHaveInsurance
joy,"@mehnar My 2b in touch! On contrary, thank 4your kind Tw't! Ole&amp;Olé&amp;Olé! #cutnoart"
fear,"She tried to sleep , but she was desperately nervous about tomorrow . "
anger,"And then , unable to be cross with him for long , you shift your feelings over to the critic . "
surprise,Apparently i have to teach the librarians how to use adobe connect... 
joy,Break! Someone is thinking of you right now with love in their heart. Relax &amp; let their love in. #LJB
joy,"My dad called me fat on my face the other day. So, his punishment was to buy me a new perfume- Gucci Guilty Intense :D "
sadness,I 'm particularly sad my mother hasn't had the opportunity to buy even his MC . 
worry,Suddenly sick with the flu and quite sad about it
joy,Just tool the best nap. And it was only an hour long!!! Ugh now bac to reality. Psych class is 9 min.... 
love,@ADKmama I'll have to add your shop to my favorites! I love your needle wraps. Right now my needles are all in a mess in a basket
joy,"Really good time at the HWPA Awards today - home safe and sound, and not actually feeling too wrecked!!  "
sadness,I had drunk a couple of beers and my fiancee got angry at me.
fear,"Since the war began , Soviet military commentators , including senior serving officers , have been expressing dismay at seeing Iraq 's army , most of whose tanks and aircraft they supplied , pounded so relentlessly and effectively . "
worry,Isnt looking forward to going back to work. 3 days off isnt long enough
anger,When you book in an anpointment..BE THERE! And no it wasn't a different day!! UGH-- #letitout #
worry,@bmerten85 @anthonycolaneri Pool party? Why wasn't I informed????
sadness,Down to my final hours of prison break 
joy,Hid my phone and totally got caught up on lectures! Now I need to finish my paper and practice med calculations 
neutral, Is there anything interesting ? 
worry,@forevertanoya awww dnt say that. I wanted to see it  how bad is it?
joy,"@Josepf that is true! I do tend to skip while walking, jump in puddles and giggle :-D Just like mom taught me, is contagious!"
anger,&quot;A women that's worth sum is definitely worth the effort&quot; ----&gt;@jayrealnomake
surprise,On an All American Rejects grind. #ImInMiddleSchool
fear,"My biggest is loosing you, so please don't make me ever face that fear. You have no absolutely no idea how much you mean to me."
fear,Can't wait to watch Factor again #tomorrowat8
joy,"My head hurts, this car smells and I don't feel good "
love,"Happy Mother's Day, Moms!!! You are wonderful!! Have a great day"
fear,what you don't know &amp; #fuck the world don't ask me for #shit
joy,"went to sleep feeling like shit, woke up feeling like shit "
love,finished proofing the wedding from March .. now just waiting for export and upload before I can share  Still have 2 more sessions to do!
worry,Sitting in boring ass litterature listening to jack Johnson  missing the gf soooooooooooooooooooooooooooooooooooo much.
joy,One Of My Family Members Live For Drama 
joy,The pretty young undergraduate felt elated . 
anger,"` You could have lent it to me , "" Paula said , peeved . "
sadness,"Driving through Alabama, tornado destruction is still being seen. "
worry,"no @AlexisMarie23, I can't make it to the tour. I'm from Philippines"
anger,"How a rubbish bin is reffered to as a piece of 'art' and wins £25,000 is beyond me. It's NOT art. "
sadness,Why did  change Clare's character so much? I hate her now.  
sadness,I heard the piñata break so I ran to that motherfucker but it was filled with Mexican candy. 
love,saying goodbye to my parents at the airport.  it was great having them around.
surprise,@holly_berry10 i chilled down a dirt road last night #exboyfriendprobz #heowesmeacarwash
sadness,Raleigh's is no more?  I will always fondly recall the many nights that began there.  
worry,"is it too late to jump on a plane to Richmond, VA and go to the Conditions concert?! ...i think that's a yes  boo my life. and ohio."
worry,I cant afford life right now. Everything i want to do is too expensive
worry,listening to varsity fanclub
fear,"People think I've changed, just cause my appeal has grown. @Drake &gt;&gt;&gt;&gt;"
surprise,zoo erg moe he maar wel lekker cadeautjes gekregen by 
surprise,really wish that you wouldnt have made me look dumb by saying you were so diff from all other guys.. but you did
neutral," Use the stairs , never the elevator . "
love,"@taylorswift13 lol, good luck with that ;) love your vid for YBWM"
joy,Guess what? I just walked out of the last math class I will EVER have to attend.  
sadness,"I don't know why but, I felt like my heart tore into pieces. It's hurt. I felt unlucky D': #emo"
worry,@nicola_prigg pah - she isn't ready for it poor little mite
fear,Family dinner outing. 
joy,@TheBodyShopUK It brings me when I think of spending this Christmas with my family and friends back home. How I've missed them!
sadness,When people pass on to a new  there are two emotions that are felt.  and #Happiness.  For they are gone but in a better place
surprise,"@DeZZyFly Ahhh man, hit him up for me...but it's gonna be insane tho.   #just hype lol"
fear,Intelligence puts man on the throne. Faith puts God there.     
fear,I want to do my  show on fear. What are tweet people afraid of? 
sadness,"it'd actually be kind of cool for a celebrity to follow me, but they'd probably get annoyed and unfollow eventually "
surprise,so anxioussss i cant wait to buy these damn things ! 
worry,@emerilizzie poor kid.  That sucks. Hopefully things look up for her soon. *hugs*
joy,a weekend full of school work. 
worry,is going home... I've seriously had enough
fear,"I caught a huge eel on a fishing line which I had pulled into the boat. I cut the line and threw the whole lot back into the water. Later that day and about ten miles away I went swimming and someone made the comment wondering how far eels could swim, I abruptly ended swimming for fear at an unseen eel for a few days until we had left the district."
joy,"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?"
anger,I need weed to sleep. Or else I won't dream of sugar plums   #NeedWeed
fear,Find someone who knows you're not  but treat you as if you are &amp; someone whose biggest is losing you.
worry,"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"
joy,Great start to the day no Piccadilly line! And bus is packed 
worry,@karenhanson that plain sux. kinda like cheers goin off the air.
neutral, Why not ? 
joy,My mom and brother are debating on whether I'm a nerd or a bum 
fear,How could she be concerned about the choice of jam ? 
joy,Well I'm going to be extremely tired tomorrow. And I have a day full of studying 
anger, you get inside the building only to realize tht you left your drink in the car... lol
